strain,ploidy,size
A1.fcs,1.973682378,925.2978723
A2.fcs,1.026311292,660.5942029
A3.fcs,1.921053464,847.222222
A4.fcs,1.13157545,784.2291667
A6.fcs,1.105264157,607.5652174
A7.fcs,1.052628914,626.4423077
A9.fcs,1.157893071,730.3571429
A10.fcs,1.026311292,595.6769231
A12.fcs,1.052628914,560.0606061
B1.fcs,1.71052515,656.68
B2.fcs,1.868418221,809.4588235
B3.fcs,1.026311292,522.5384615
B4.fcs,1.105264157,999/547619
B5.fcs,1.078946536,734.3214286
B6.fcs,1.447367921,937.097561
H9.fcs,1,424.28
H10.fcs,2,636.9929577
