strain,size,cellcycle
c1,10.29853659,1.576323988
c2,10.85764706,0.651041667
c3,10.07,0.538271605
c4,10.65,0.758807588
c5,12.57,0.221465077
c6,9.87,0.337931034
c7,10.55,0.167320261
c8,9.11,0.189380531
c9,11.09,0.403508772
c10,11.95,0.040935673
c11,10.51,0.135638298
c12,10.17,0.197508897
c13,9.68,0.578947368
c14,10.47,0.203065134
c15,11.02,0.235164835
c16,10.81,0.453460621
c17,10.68,0.85645933
c18,11.19,1.622222222
c19,10.08,0.293165468
c20,12.22,0.081889764
c21,12.11,0.36013986
c22,9.72,0.380246914
c23,9.59,0.852861035
c24,13.19,0.700361011
c25,10.12,0.478079332
c26,13.43,3.166666667
c27,8.56,1.063981043
