strain,foldchange,var
c1,1.203100069,size
c2,1.268416713,size
c3,1.176401869,size
c4,1.244158879,size
c5,1.468457944,size
c6,1.153037383,size
c7,1.232476636,size
c8,1.064252336,size
c9,1.295560748,size
c10,1.396028037,size
c11,1.227803738,size
c12,1.188084112,size
c13,1.130841121,size
c14,1.223130841,size
c15,1.287383178,size
c16,1.262850467,size
c17,1.247663551,size
c18,1.307242991,size
c19,1.177570093,size
c20,1.427570093,size
c21,1.414719626,size
c22,1.135514019,size
c23,1.120327103,size
c24,1.54088785,size
c25,1.182242991,size
c26,1.568925234,size
c27,1,size
c1,1.481535356,cellcycle
c2,0.611892768,cellcycle
c3,0.505903875,cellcycle
c4,0.713178432,cellcycle
c5,0.208147782,cellcycle
c6,0.317610325,cellcycle
c7,0.15725884,cellcycle
c8,0.177992567,cellcycle
c9,0.379244696,cellcycle
c10,0.0384741,cellcycle
c11,0.127482,cellcycle
c12,0.185632152,cellcycle
c13,0.544133694,cellcycle
c14,0.190854277,cellcycle
c15,0.221023736,cellcycle
c16,0.426192805,cellcycle
c17,0.80495811,cellcycle
c18,1.524673605,cellcycle
c19,0.275536634,cellcycle
c20,0.076965511,cellcycle
c21,0.338483675,cellcycle
c22,0.357381637,cellcycle
c23,0.80157619,cellcycle
c24,0.658246406,cellcycle
c25,0.449331127,cellcycle
c26,2.976246421,cellcycle
c27,1,cellcycle
